timestamp,frame,cx,cy,x1,y1,x2,y2,confidence
2025-12-15 18:47:54,323,166,178,136,150,196,206,0.5712653398513794
2025-12-15 18:47:54,325,161,183,132,154,191,213,0.5729826092720032
2025-12-15 18:47:55,327,160,178,131,153,190,204,0.5160455703735352
2025-12-15 18:47:55,328,168,181,137,155,199,207,0.7183290719985962
2025-12-15 18:47:55,329,167,184,137,156,198,212,0.6565931439399719
2025-12-15 18:47:55,330,168,196,136,158,200,235,0.6101642847061157
2025-12-15 18:47:55,331,170,190,140,159,201,221,0.6722741723060608
2025-12-15 18:47:57,345,204,207,174,179,235,236,0.51334148645401
2025-12-15 18:47:58,352,160,202,132,178,189,227,0.5430728793144226
2025-12-15 18:47:58,352,212,188,186,171,239,205,0.5116099119186401
2025-12-15 18:47:58,353,215,186,189,171,242,202,0.5304256081581116
2025-12-15 18:47:58,355,209,183,184,169,234,198,0.5374467968940735
2025-12-15 18:47:58,356,208,185,183,168,233,202,0.5318004488945007
2025-12-15 18:47:58,357,208,185,183,168,233,202,0.5318004488945007
2025-12-15 18:47:59,361,160,203,130,174,190,233,0.5947840213775635
2025-12-15 18:47:59,362,206,201,177,168,236,235,0.6412191390991211
2025-12-15 18:47:59,363,204,200,173,166,235,235,0.639779269695282
2025-12-15 18:47:59,363,256,209,233,181,279,237,0.512326180934906
2025-12-15 18:47:59,364,204,200,174,166,235,235,0.6442103385925293
2025-12-15 18:47:59,364,256,209,233,181,279,238,0.5475928783416748
2025-12-15 18:47:59,365,204,201,175,167,234,235,0.6030047535896301
2025-12-15 18:47:59,365,256,209,233,181,279,238,0.5165306329727173
2025-12-15 18:47:59,366,205,201,176,167,234,235,0.5832105278968811
2025-12-15 18:48:01,381,178,167,147,132,210,203,0.6856988668441772
2025-12-15 18:48:01,382,182,144,149,113,216,175,0.666842520236969
2025-12-15 18:48:01,382,240,149,203,115,277,183,0.6230166554450989
2025-12-15 18:48:01,383,189,131,156,103,223,159,0.7295805811882019
2025-12-15 18:48:01,383,255,139,217,106,293,173,0.7280386090278625
2025-12-15 18:48:01,383,318,168,292,133,345,204,0.6103679537773132
2025-12-15 18:48:01,384,256,143,218,107,295,180,0.7294389009475708
2025-12-15 18:48:01,384,191,133,156,104,226,162,0.5925645232200623
2025-12-15 18:48:01,385,261,142,227,108,295,176,0.6763001680374146
2025-12-15 18:48:01,385,192,132,155,103,230,162,0.6374915242195129
2025-12-15 18:48:01,386,189,130,152,99,227,161,0.7194427847862244
2025-12-15 18:48:01,386,260,138,226,103,295,174,0.5891507863998413
2025-12-15 18:48:01,386,323,170,295,132,352,208,0.5498978495597839
2025-12-15 18:48:01,387,188,124,151,93,225,155,0.7129337191581726
2025-12-15 18:48:01,387,260,133,227,98,294,168,0.627896785736084
2025-12-15 18:48:01,387,319,164,286,126,352,203,0.5557252168655396
2025-12-15 18:48:01,387,199,239,5,92,394,387,0.5455981492996216
2025-12-15 18:48:02,388,189,119,151,89,227,150,0.7423087358474731
2025-12-15 18:48:02,388,322,159,290,121,354,198,0.6478530764579773
2025-12-15 18:48:02,388,261,130,227,93,295,167,0.6462445259094238
2025-12-15 18:48:02,388,197,249,5,90,390,409,0.6336056590080261
2025-12-15 18:48:02,388,373,238,340,195,407,282,0.5632150173187256
2025-12-15 18:48:02,389,194,118,154,87,234,149,0.7645266652107239
2025-12-15 18:48:02,389,327,156,298,119,356,193,0.7253747582435608
2025-12-15 18:48:02,389,263,116,231,91,296,141,0.7058355212211609
2025-12-15 18:48:02,389,205,231,2,84,408,379,0.6968885064125061
2025-12-15 18:48:02,389,373,235,338,191,409,279,0.5181267857551575
2025-12-15 18:48:02,390,195,114,157,85,234,143,0.7526472806930542
2025-12-15 18:48:02,390,207,231,1,88,414,375,0.6643741726875305
2025-12-15 18:48:02,390,265,113,234,90,297,137,0.6526926755905151
2025-12-15 18:48:02,390,322,155,288,117,356,194,0.5473309755325317
